id,left,top,right,bottom,row_index,col_index
3203,205189.761599999997998,551863.541699999943376,205689.761599999997998,551363.541699999943376,30,52
3200,205189.761599999997998,553363.541699999943376,205689.761599999997998,552863.541699999943376,27,52
3201,205189.761599999997998,552863.541699999943376,205689.761599999997998,552363.541699999943376,28,52
3326,206189.761599999997998,551363.541699999943376,206689.761599999997998,550863.541699999943376,31,54
3327,206189.761599999997998,550863.541699999943376,206689.761599999997998,550363.541699999943376,32,54
3324,206189.761599999997998,552363.541699999943376,206689.761599999997998,551863.541699999943376,29,54
3325,206189.761599999997998,551863.541699999943376,206689.761599999997998,551363.541699999943376,30,54
3322,206189.761599999997998,553363.541699999943376,206689.761599999997998,552863.541699999943376,27,54
3323,206189.761599999997998,552863.541699999943376,206689.761599999997998,552363.541699999943376,28,54
3320,206189.761599999997998,554363.541699999943376,206689.761599999997998,553863.541699999943376,25,54
3321,206189.761599999997998,553863.541699999943376,206689.761599999997998,553363.541699999943376,26,54
3318,206189.761599999997998,555363.541699999943376,206689.761599999997998,554863.541699999943376,23,54
3319,206189.761599999997998,554863.541699999943376,206689.761599999997998,554363.541699999943376,24,54
3316,206189.761599999997998,556363.541699999943376,206689.761599999997998,555863.541699999943376,21,54
3317,206189.761599999997998,555863.541699999943376,206689.761599999997998,555363.541699999943376,22,54
3314,206189.761599999997998,557363.541699999943376,206689.761599999997998,556863.541699999943376,19,54
3315,206189.761599999997998,556863.541699999943376,206689.761599999997998,556363.541699999943376,20,54
3312,206189.761599999997998,558363.541699999943376,206689.761599999997998,557863.541699999943376,17,54
3313,206189.761599999997998,557863.541699999943376,206689.761599999997998,557363.541699999943376,18,54
3310,206189.761599999997998,559363.541699999943376,206689.761599999997998,558863.541699999943376,15,54
3311,206189.761599999997998,558863.541699999943376,206689.761599999997998,558363.541699999943376,16,54
3308,206189.761599999997998,560363.541699999943376,206689.761599999997998,559863.541699999943376,13,54
3309,206189.761599999997998,559863.541699999943376,206689.761599999997998,559363.541699999943376,14,54
3306,206189.761599999997998,561363.541699999943376,206689.761599999997998,560863.541699999943376,11,54
3307,206189.761599999997998,560863.541699999943376,206689.761599999997998,560363.541699999943376,12,54
3304,206189.761599999997998,562363.541699999943376,206689.761599999997998,561863.541699999943376,9,54
3305,206189.761599999997998,561863.541699999943376,206689.761599999997998,561363.541699999943376,10,54
3302,206189.761599999997998,563363.541699999943376,206689.761599999997998,562863.541699999943376,7,54
3303,206189.761599999997998,562863.541699999943376,206689.761599999997998,562363.541699999943376,8,54
3300,206189.761599999997998,564363.541699999943376,206689.761599999997998,563863.541699999943376,5,54
3301,206189.761599999997998,563863.541699999943376,206689.761599999997998,563363.541699999943376,6,54
3298,206189.761599999997998,565363.541699999943376,206689.761599999997998,564863.541699999943376,3,54
3299,206189.761599999997998,564863.541699999943376,206689.761599999997998,564363.541699999943376,4,54
3296,206189.761599999997998,566363.541699999943376,206689.761599999997998,565863.541699999943376,1,54
3297,206189.761599999997998,565863.541699999943376,206689.761599999997998,565363.541699999943376,2,54
3294,205689.761599999997998,536863.541699999943376,206189.761599999997998,536363.541699999943376,60,53
3292,205689.761599999997998,537863.541699999943376,206189.761599999997998,537363.541699999943376,58,53
3293,205689.761599999997998,537363.541699999943376,206189.761599999997998,536863.541699999943376,59,53
3290,205689.761599999997998,538863.541699999943376,206189.761599999997998,538363.541699999943376,56,53
