fid,BASE_DATE,ADM_CD,SIGNGU_CD,SIGNGU_NM,NUMPOINTS
478,20230701,11080840,11230,동대문구,0
479,20230701,11080840,11290,성북구,0
480,20230701,11080850,11230,동대문구,0
481,20230701,11080850,11260,중랑구,0
482,20230701,11080850,11290,성북구,0
483,20230701,11080850,11350,노원구,0
484,20230701,11090600,11305,강북구,0
485,20230701,11090600,11320,도봉구,0
486,20230701,11090610,11305,강북구,0
487,20230701,11090610,11320,도봉구,0
488,20230701,11090620,11290,성북구,0
489,20230701,11090620,11305,강북구,0
490,20230701,11090620,11320,도봉구,0
491,20230701,11090620,11350,노원구,0
492,20230701,11090640,11305,강북구,1
493,20230701,11090640,11320,도봉구,0
494,20230701,11090650,11305,강북구,0
495,20230701,11090650,11320,도봉구,0
496,20230701,11090710,11290,성북구,0
497,20230701,11090710,11305,강북구,0
498,20230701,11100510,11305,강북구,0
499,20230701,11100510,11320,도봉구,0
500,20230701,11100520,11320,도봉구,0
501,20230701,11100530,11305,강북구,0
502,20230701,11100530,11320,도봉구,0
503,20230701,11100540,11320,도봉구,0
504,20230701,11100550,11320,도봉구,0
505,20230701,11100550,11350,노원구,0
506,20230701,11100560,11320,도봉구,0
507,20230701,11100570,11305,강북구,0
508,20230701,11100570,11320,도봉구,0
509,20230701,11100590,11320,도봉구,0
510,20230701,11100590,11350,노원구,0
511,20230701,11100600,11305,강북구,0
512,20230701,11100600,11320,도봉구,1
513,20230701,11100610,11305,강북구,0
514,20230701,11100610,11320,도봉구,0
515,20230701,11100610,11350,노원구,0
516,20230701,11100620,11320,도봉구,0
517,20230701,11100620,11350,노원구,0
518,20230701,11100630,11320,도봉구,0
519,20230701,11130700,11380,은평구,0
520,20230701,11130700,11410,서대문구,0
521,20230701,11130710,11380,은평구,0
522,20230701,11130710,11410,서대문구,0
523,20230701,11130710,11440,마포구,0
524,20230701,11100640,11305,강북구,0
525,20230701,11100640,11320,도봉구,0
526,20230701,11100650,11320,도봉구,0
527,20230701,11100650,11350,노원구,0
528,20230701,11110510,11290,성북구,0
529,20230701,11110510,11350,노원구,0
530,20230701,11110530,11260,중랑구,0
531,20230701,11110530,11290,성북구,0
532,20230701,11110530,11350,노원구,0
533,20230701,11110580,11350,노원구,0
534,20230701,11110600,11350,노원구,1
535,20230701,11110640,11350,노원구,0
536,20230701,11110650,11320,도봉구,0
537,20230701,11110650,11350,노원구,0
538,20230701,11110660,11350,노원구,0
539,20230701,11110690,11350,노원구,0
540,20230701,11110780,11350,노원구,0
541,20230701,11110740,11320,도봉구,0
542,20230701,11110740,11350,노원구,0
543,20230701,11110770,11320,도봉구,0
544,20230701,11110770,11350,노원구,1
545,20230701,11120510,11380,은평구,0
546,20230701,11120510,11410,서대문구,0
547,20230701,11120550,11380,은평구,1
548,20230701,11120560,11380,은평구,1
549,20230701,11120570,11380,은평구,0
550,20230701,11120580,11380,은평구,0
551,20230701,11120590,11380,은평구,0
552,20230701,11120590,11410,서대문구,0
553,20230701,11120600,11380,은평구,0
554,20230701,11120600,11410,서대문구,0
555,20230701,11120650,11380,은평구,0
556,20230701,11230630,11680,강남구,0
